cve,legacy_date_published,current_date_published
CVE-2002-2364,2007-10-29,2022-10-03
CVE-2002-2365,2007-10-31,2022-10-03
CVE-2002-2366,2007-10-31,2022-10-03
CVE-2002-2367,2007-10-31,2022-10-03
CVE-2002-2368,2007-10-31,2022-10-03
CVE-2002-2369,2007-10-31,2022-10-03
CVE-2002-2370,2007-10-31,2022-10-03
CVE-2002-2371,2007-10-31,2022-10-03
CVE-2002-2372,2007-10-31,2022-10-03
CVE-2002-2373,2007-10-31,2022-10-03
CVE-2002-2374,2007-10-31,2022-10-03
CVE-2002-2375,2007-10-31,2022-10-03
CVE-2002-2376,2007-10-31,2022-10-03
CVE-2002-2377,2007-10-31,2022-10-03
CVE-2002-2378,2007-10-31,2022-10-03
CVE-2002-2379,2007-10-31,2022-10-03
CVE-2002-2380,2007-10-31,2022-10-03
CVE-2002-2381,2007-10-31,2022-10-03
CVE-2002-2382,2007-10-31,2022-10-03
CVE-2002-2384,2007-10-31,2022-10-03
CVE-2002-2385,2007-10-31,2022-10-03
CVE-2002-2386,2007-10-31,2022-10-03
CVE-2002-2387,2007-10-31,2022-10-03
CVE-2002-2388,2007-10-31,2022-10-03
CVE-2002-2389,2007-10-31,2022-10-03
CVE-2002-2390,2007-10-31,2022-10-03
CVE-2002-2391,2007-10-31,2022-10-03
CVE-2002-2392,2007-10-31,2022-10-03
CVE-2002-2393,2007-10-31,2022-10-03
CVE-2002-2394,2007-11-01,2022-10-03
CVE-2002-2395,2007-11-01,2022-10-03
CVE-2002-2396,2007-11-01,2022-10-03
CVE-2002-2397,2007-11-01,2022-10-03
CVE-2002-2399,2007-11-01,2022-10-03
CVE-2002-2401,2007-11-01,2022-10-03
CVE-2002-2405,2007-11-01,2022-10-03
CVE-2002-2406,2007-11-01,2022-10-03
CVE-2002-2407,2007-11-01,2022-10-03
CVE-2002-2408,2007-11-01,2022-10-03
CVE-2002-2409,2007-11-01,2022-10-03
CVE-2002-2410,2007-11-01,2022-10-03
CVE-2002-2412,2007-11-01,2022-10-03
CVE-2002-2413,2007-11-01,2022-10-03
CVE-2002-2415,2007-11-01,2022-10-03
CVE-2002-2416,2007-11-01,2022-10-03
CVE-2002-2419,2007-11-01,2022-10-03
CVE-2002-2420,2007-11-01,2022-10-03
CVE-2002-2421,2007-11-01,2022-10-03
CVE-2002-2422,2007-11-01,2022-10-03
CVE-2002-2423,2007-11-01,2022-10-03
CVE-2002-2424,2007-11-01,2022-10-03
CVE-2002-2425,2007-11-01,2022-10-03
CVE-2002-2427,2009-02-06,2022-10-03
CVE-2002-2428,2009-02-06,2022-10-03
CVE-2002-2429,2009-02-06,2022-10-03
CVE-2002-2430,2009-02-06,2022-10-03
CVE-2002-2431,2009-02-06,2022-10-03
